name,slug,value,date_of_information,ranking,region
South Africa,south-africa,"57,516,665",2022 est.,26,Africa
South Sudan,south-sudan,"11,544,905",2022 est.,82,Africa
Spain,spain,"47,163,418",2022 est.,31,Europe
Sri Lanka,sri-lanka,"23,187,516",2022 est.,58,South Asia
Sudan,sudan,"47,958,856",2022 est.,30,Africa
Suriname,suriname,"632,638",2022 est.,170,South America
Svalbard,svalbard,"2,926",January 2021 est.,229,Europe
Sweden,sweden,"10,483,647",2022 est.,89,Europe
Switzerland,switzerland,"8,508,698",2022 est.,101,Europe
Syrian Arab Republic,syria,"21,563,800",2022 est.,60,Middle East
"Taiwan, Province of China",taiwan,"23,580,712",2022 est.,57,East and Southeast Asia
Tajikistan,tajikistan,"9,119,347",2022 est.,97,Central Asia
"Tanzania, United Republic of",tanzania,"63,852,892",2022 est.,23,Africa
Thailand,thailand,"69,648,117",2022 est.,20,East and Southeast Asia
Timor-Leste,timor-leste,"1,445,006",2022 est.,156,East and Southeast Asia
Togo,togo,"8,492,333",2022 est.,102,Africa
Tokelau,tokelau,"1,647",2019 est.,233,Australia and Oceania
Tonga,tonga,"105,517",2022 est.,191,Australia and Oceania
Trinidad and Tobago,trinidad-and-tobago,"1,405,646",2022 est.,157,Central America and the Caribbean
Tunisia,tunisia,"11,896,972",2022 est.,80,Africa
Turkey,turkey-turkiye,"83,047,706",2022 est.,19,Middle East
Turkmenistan,turkmenistan,"5,636,011",2022 est.,115,Central Asia
Turks and Caicos Islands,turks-and-caicos-islands,"58,286",2022 est.,205,Central America and the Caribbean
Tuvalu,tuvalu,"11,544",2022 est.,221,Australia and Oceania
Uganda,uganda,"46,205,893",2022 est.,33,Africa
Ukraine,ukraine,"43,528,136",2022 est.,35,Europe
United Arab Emirates,united-arab-emirates,"9,915,803",2022 est.,92,Middle East
United Kingdom,united-kingdom,"67,791,400",2022 est.,22,Europe
United States,united-states,"337,341,954",2022 est.,3,North America
Uruguay,uruguay,"3,407,213",2022 est.,132,South America
Uzbekistan,uzbekistan,"31,104,937",2022 est.,47,Central Asia
Vanuatu,vanuatu,"308,043",2022 est.,179,Australia and Oceania
"Venezuela, Bolivarian Republic of",venezuela,"29,789,730",2022 est.,50,South America
Viet Nam,vietnam,"103,808,319",2022 est.,16,East and Southeast Asia
Virgin Islands,virgin-islands,"105,413",2022 est.,192,Central America and the Caribbean
Wallis and Futuna,wallis-and-futuna,"15,891",2022 est.,220,Australia and Oceania
West Bank,west-bank,"3,000,021",2022 est.,139,Middle East
Yemen,yemen,"30,984,689",2022 est.,48,Middle East
Zambia,zambia,"19,642,123",2022 est.,63,Africa
Zimbabwe,zimbabwe,"15,121,004",2022 est.,73,Africa
Western Sahara,,"596,707",,,
"Palestine, State of",,"4,997,349",,,
Stateless,,"21,564,432",,,
Recognized Non-Citizens,,"21,564,432",,,
Unkown,,"21,564,432",,,
